number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
249	46.416	5.5	10.0	760.0	3.0	0.059
250	46.416	5.5	10.0	780.0	3.0	0.059
251	46.416	5.5	10.0	800.0	3.0	0.059
252	46.416	6.0	10.0	400.0	3.0	0.056
253	46.416	6.0	10.0	420.0	3.0	0.059
254	46.416	6.0	10.0	440.0	3.0	0.059
255	46.416	6.0	10.0	460.0	3.0	0.059
256	46.416	6.0	10.0	480.0	3.0	0.059
257	46.416	6.0	10.0	500.0	3.0	0.06
258	46.416	6.0	10.0	520.0	3.0	0.059
259	46.416	6.0	10.0	540.0	3.0	0.06
260	46.416	6.0	10.0	560.0	3.0	0.056
261	46.416	6.0	10.0	580.0	3.0	0.057
262	46.416	6.0	10.0	600.0	3.0	0.058
263	46.416	6.0	10.0	620.0	3.0	0.056
264	46.416	6.0	10.0	640.0	3.0	0.057
265	46.416	6.0	10.0	660.0	3.0	0.056
266	46.416	6.0	10.0	680.0	3.0	0.057
267	46.416	6.0	10.0	700.0	3.0	0.058
268	46.416	6.0	10.0	720.0	3.0	0.056
269	46.416	6.0	10.0	740.0	3.0	0.056
270	46.416	6.0	10.0	760.0	3.0	0.056
271	46.416	6.0	10.0	780.0	3.0	0.056
272	46.416	6.0	10.0	800.0	3.0	0.057
273	46.416	6.5	10.0	400.0	3.0	0.056
274	46.416	6.5	10.0	420.0	3.0	0.06
275	46.416	6.5	10.0	440.0	3.0	0.06
276	46.416	6.5	10.0	460.0	3.0	0.057
277	46.416	6.5	10.0	480.0	3.0	0.057
278	46.416	6.5	10.0	500.0	3.0	0.059
279	46.416	6.5	10.0	520.0	3.0	0.06
280	46.416	6.5	10.0	540.0	3.0	0.056
281	46.416	6.5	10.0	560.0	3.0	0.056
282	46.416	6.5	10.0	580.0	3.0	0.057
283	46.416	6.5	10.0	600.0	3.0	0.054
284	46.416	6.5	10.0	620.0	3.0	0.055
285	46.416	6.5	10.0	640.0	3.0	0.056
286	46.416	6.5	10.0	660.0	3.0	0.054
287	46.416	6.5	10.0	680.0	3.0	0.057
288	46.416	6.5	10.0	700.0	3.0	0.057
289	46.416	6.5	10.0	720.0	3.0	0.057
290	46.416	6.5	10.0	740.0	3.0	0.056
291	46.416	6.5	10.0	760.0	3.0	0.058
292	46.416	6.5	10.0	780.0	3.0	0.057
293	46.416	6.5	10.0	800.0	3.0	0.056
294	46.416	7.0	10.0	400.0	3.0	0.056
295	46.416	7.0	10.0	420.0	3.0	0.059
296	46.416	7.0	10.0	440.0	3.0	0.057
297	46.416	7.0	10.0	460.0	3.0	0.057
298	46.416	7.0	10.0	480.0	3.0	0.057
299	46.416	7.0	10.0	500.0	3.0	0.057
300	46.416	7.0	10.0	520.0	3.0	0.057
301	46.416	7.0	10.0	540.0	3.0	0.057
302	46.416	7.0	10.0	560.0	3.0	0.055
303	46.416	7.0	10.0	580.0	3.0	0.054
304	46.416	7.0	10.0	600.0	3.0	0.054
305	46.416	7.0	10.0	620.0	3.0	0.054
306	46.416	7.0	10.0	640.0	3.0	0.054
307	46.416	7.0	10.0	660.0	3.0	0.055
308	46.416	7.0	10.0	680.0	3.0	0.056
309	46.416	7.0	10.0	700.0	3.0	0.058
310	46.416	7.0	10.0	720.0	3.0	0.057
311	46.416	7.0	10.0	740.0	3.0	0.057
312	46.416	7.0	10.0	760.0	3.0	0.057
313	46.416	7.0	10.0	780.0	3.0	0.057
314	46.416	7.0	10.0	800.0	3.0	0.056
315	46.416	7.5	10.0	400.0	3.0	0.056
316	46.416	7.5	10.0	420.0	3.0	0.058
317	46.416	7.5	10.0	440.0	3.0	0.057
